placement_id,date,funnel,format,size,campaign_name,impressions,clicks,spend,sessions,bounces
352208363,2022-12-05,conversion,image,1080x1080,all-out,100,1,0.64,1,0
352208465,2022-12-05,conversion,image,1080x1080,all-out,836,3,6.77,1,0
352208465,2022-12-05,conversion,image,1080x1080,all-out,836,3,6.77,1,0
352565979,2022-12-05,conversion,html5,1080x1080,glassroom-workshop,517,1,3.23,1,1
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,1,1
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,1,1
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,1,1
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,1,1
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,1,1
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,1,1
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,1,1
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,1,1
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,1,1
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,1,1
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,1,1
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,1,1
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,1,1
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,1,1
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,1,1
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,1,1
352569741,2022-12-05,conversion,image,1080x1080,all-out,155,1,1.31,1,0
352569741,2022-12-05,conversion,image,1080x1080,all-out,155,1,1.31,1,0
352569741,2022-12-05,conversion,image,1080x1080,all-out,155,1,1.31,1,0
352569741,2022-12-05,conversion,image,1080x1080,all-out,155,1,1.31,1,0
352569741,2022-12-05,conversion,image,1080x1080,all-out,155,1,1.31,1,0
352569741,2022-12-05,conversion,image,1080x1080,all-out,155,1,1.31,1,0
352569741,2022-12-05,conversion,image,1080x1080,all-out,155,1,1.31,1,0
352569741,2022-12-05,conversion,image,1080x1080,all-out,155,1,1.31,1,0
352569741,2022-12-05,conversion,image,1080x1080,all-out,155,1,1.31,1,0
352569741,2022-12-05,conversion,image,1080x1080,all-out,155,1,1.31,1,0
352569741,2022-12-05,conversion,image,1080x1080,all-out,155,1,1.31,1,0
352569741,2022-12-05,conversion,image,1080x1080,all-out,155,1,1.31,1,0
352569741,2022-12-05,conversion,image,1080x1080,all-out,155,1,1.31,1,0
352569741,2022-12-05,conversion,image,1080x1080,all-out,155,1,1.31,1,0
352569741,2022-12-05,conversion,image,1080x1080,all-out,155,1,1.31,1,0
352569741,2022-12-05,conversion,image,1080x1080,all-out,155,1,1.31,1,0
352577464,2022-12-05,conversion,html5,1080x1080,glassroom-workshop,643,3,10.62,1,0
352577464,2022-12-05,conversion,html5,1080x1080,glassroom-workshop,643,3,10.62,1,1
352578793,2022-12-05,conversion,html5,1080x1080,all-out,566,1,4.14,1,0
352578895,2022-12-05,conversion,image,1080x1080,all-out,799,1,11.92,1,0
352578895,2022-12-05,conversion,image,1080x1080,all-out,799,1,11.92,1,0
352579222,2022-12-05,conversion,html5,1080x1080,all-out,238,1,4.42,1,0
352579624,2022-12-05,conversion,image,1080x1080,all-out,212,1,1.19,1,0
352208465,2022-12-05,conversion,image,1080x1080,all-out,836,3,6.77,2,0
352571541,2022-12-05,conversion,image,300x600,glassroom-workshop,645,1,11.97,2,0
352579333,2022-12-05,conversion,image,1080x1080,all-out,5052,13,50.28,7,0
352579333,2022-12-05,conversion,image,1080x1080,all-out,5052,13,50.28,7,0
352579333,2022-12-05,conversion,image,1080x1080,all-out,5052,13,50.28,7,0
352579333,2022-12-05,conversion,image,1080x1080,all-out,5052,13,50.28,7,0
352579333,2022-12-05,conversion,image,1080x1080,all-out,5052,13,50.28,7,0
352579333,2022-12-05,conversion,image,1080x1080,all-out,5052,13,50.28,7,0
352579333,2022-12-05,conversion,image,1080x1080,all-out,5052,13,50.28,7,0
352579333,2022-12-05,conversion,image,1080x1080,all-out,5052,13,50.28,7,0
352579333,2022-12-05,conversion,image,1080x1080,all-out,5052,13,50.28,7,0
352579333,2022-12-05,conversion,image,1080x1080,all-out,5052,13,50.28,7,0
352579333,2022-12-05,conversion,image,1080x1080,all-out,5052,13,50.28,7,0
352579333,2022-12-05,conversion,image,1080x1080,all-out,5052,13,50.28,7,0
352579333,2022-12-05,conversion,image,1080x1080,all-out,5052,13,50.28,7,0
352579333,2022-12-05,conversion,image,1080x1080,all-out,5052,13,50.28,7,0
352579333,2022-12-05,conversion,image,1080x1080,all-out,5052,13,50.28,7,0
352579333,2022-12-05,conversion,image,1080x1080,all-out,5052,13,50.28,7,0
352570734,2022-12-05,conversion,image,300x600,glassroom-workshop,3441,15,36.05,12,12
352570734,2022-12-05,conversion,image,300x600,glassroom-workshop,3441,15,36.05,12,12
352570734,2022-12-05,conversion,image,300x600,glassroom-workshop,3441,15,36.05,12,12
352570734,2022-12-05,conversion,image,300x600,glassroom-workshop,3441,15,36.05,12,12
352570734,2022-12-05,conversion,image,300x600,glassroom-workshop,3441,15,36.05,12,12
352570734,2022-12-05,conversion,image,300x600,glassroom-workshop,3441,15,36.05,12,12
352570734,2022-12-05,conversion,image,300x600,glassroom-workshop,3441,15,36.05,12,12
352570734,2022-12-05,conversion,image,300x600,glassroom-workshop,3441,15,36.05,12,12
352570734,2022-12-05,conversion,image,300x600,glassroom-workshop,3441,15,36.05,12,12
352570734,2022-12-05,conversion,image,300x600,glassroom-workshop,3441,15,36.05,12,12
352570734,2022-12-05,conversion,image,300x600,glassroom-workshop,3441,15,36.05,12,12
352570734,2022-12-05,conversion,image,300x600,glassroom-workshop,3441,15,36.05,12,12
352570734,2022-12-05,conversion,image,300x600,glassroom-workshop,3441,15,36.05,12,12
352570734,2022-12-05,conversion,image,300x600,glassroom-workshop,3441,15,36.05,12,12
352570734,2022-12-05,conversion,image,300x600,glassroom-workshop,3441,15,36.05,12,12
352570734,2022-12-05,conversion,image,300x600,glassroom-workshop,3441,15,36.05,12,12
352579234,2022-12-05,conversion,image,1080x1080,all-out,6241,20,64.74,12,1
352579234,2022-12-05,conversion,image,1080x1080,all-out,6241,20,64.74,12,1
352579234,2022-12-05,conversion,image,1080x1080,all-out,6241,20,64.74,12,1
352579234,2022-12-05,conversion,image,1080x1080,all-out,6241,20,64.74,12,1
352579234,2022-12-05,conversion,image,1080x1080,all-out,6241,20,64.74,12,1
352579234,2022-12-05,conversion,image,1080x1080,all-out,6241,20,64.74,12,1
352579234,2022-12-05,conversion,image,1080x1080,all-out,6241,20,64.74,12,1
352579234,2022-12-05,conversion,image,1080x1080,all-out,6241,20,64.74,12,1
352579234,2022-12-05,conversion,image,1080x1080,all-out,6241,20,64.74,12,1
352579234,2022-12-05,conversion,image,1080x1080,all-out,6241,20,64.74,12,1
352579234,2022-12-05,conversion,image,1080x1080,all-out,6241,20,64.74,12,1
352579234,2022-12-05,conversion,image,1080x1080,all-out,6241,20,64.74,12,1
352579234,2022-12-05,conversion,image,1080x1080,all-out,6241,20,64.74,12,1
352579234,2022-12-05,conversion,image,1080x1080,all-out,6241,20,64.74,12,1
352579234,2022-12-05,conversion,image,1080x1080,all-out,6241,20,64.74,12,1
352579234,2022-12-05,conversion,image,1080x1080,all-out,6241,20,64.74,12,1
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,17,16
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,17,16
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,17,16
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,17,16
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,17,16
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,17,16
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,17,16
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,17,16
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,17,16
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,17,16
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,17,16
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,17,16
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,17,16
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,17,16
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,17,16
352566654,2022-12-05,conversion,image,1080x1080,glassroom-workshop,8285,20,84.46,17,16
352566654,2022-12-17,conversion,image,1080x1080,glassroom-workshop,4551,14,46.9,11,10
352566654,2022-12-17,conversion,image,1080x1080,glassroom-workshop,4551,14,46.9,11,10
352566654,2022-12-17,conversion,image,1080x1080,glassroom-workshop,4551,14,46.9,11,10
352566654,2022-12-17,conversion,image,1080x1080,glassroom-workshop,4551,14,46.9,11,10
352566654,2022-12-17,conversion,image,1080x1080,glassroom-workshop,4551,14,46.9,11,10
352566654,2022-12-17,conversion,image,1080x1080,glassroom-workshop,4551,14,46.9,11,10
352566654,2022-12-17,conversion,image,1080x1080,glassroom-workshop,4551,14,46.9,11,10
352566654,2022-12-17,conversion,image,1080x1080,glassroom-workshop,4551,14,46.9,11,10
352566654,2022-12-17,conversion,image,1080x1080,glassroom-workshop,4551,14,46.9,11,10
352566654,2022-12-17,conversion,image,1080x1080,glassroom-workshop,4551,14,46.9,11,10
